CNES;Estabelecimento de Saúde;Total de doses Aplicadas Bivalentes
2009765; DISTRITO SANITARIO;81269
7780966; DEVS;75472
287660; REDE FRIO CENTRAL MUNICIPAL DE IMUNOBIOLOGICOS;66311
2431319; SECRETARIA DE SAUDE DO JABOATAO DOS GUARARAPES;65771
2264390; CLINICA DA FAMILIA MODELO;63789
2269376; SMS CMS HEITOR BELTRAO AP 22;62941
7222122; UBS CLEMENTINO FRAGA;62913
11150; UBS 1 ASA SUL;61043
6347223; SECRETARIA MUNICIPAL DE SAUDE NIVEL CENTRAL;51481
2708434; SMS CMS MANOEL JOSE FERREIRA AP 21;50695
6508561; US 131 DISTRITO SANITARIO I RECIFE;50654
3523357; CENTRAL DE VACINAS;49156
7024452; UBS 01;49097
6463541; SECRETARIA DE SAUDE DO PAULISTA;46909
5347351; UNIDADE BASICA DE SAUDE MARIA DULCE CUNHA SAO JOAO;46569
112496; PNI;46172
2639572; UMS OUVIDOR PARDINHO;43346
6508960; US 133 DISTRITO SANITARIO III RECIFE;42247
3270246; POLICLINICA MUNICIPAL;40286
6883303; CLINICA DA FAMILIA IAPI;38534
2287471; DIVISAO DE EPIDEMIOLOGIA;37936
2296543; SMS CMS JORGE SALDANHA BANDEIRA DE MELLO AP 40;37593
3883; UBS RAMIRO DE AZEVEDO;37283
2288370; SMS CMS PINDARO DE CARVALHO RODRIGUES AP 21;36702
134570; SMS SUPER CENTRO CARIOCA DE VACINACAO AP 21;36043
4022; USF PROF EDUARDO MAMEDE;36032
6508510; US 136 DISTRITO SANITARIO VI RECIFE;35281
2280795; SMS CMS JOAO BARROS BARRETO AP 21;35100
6917291; DEPARTAMENTO DE VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL;34968
12580; POLICLINICA COMUNITARIA DR SERGIO AROUCA;34132
2383780; CENTRAL MUNICIPAL DA REDE DE FRIO ANAPOLIS;34058
6475345; US 135 DISTRITO SANITARIO V RECIFE;34012
2752336; UBS DR HUMBERTO PASCALE SANTA CECILIA;32096
7873565; SMS CF JOSE DE SOUZA HERDY AP 40;31485
2109867; HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO;31457
2344726; POLICLINICA OURO PRETO;31269
6503640; US 134 DISTRITO SANITARIO IV RECIFE;31137
7915047; CENTRO MUNICIPAL DE VACINACAO E ORIENTACAO AO VIAJANTE;30673
10723; UBS 2 ASA NORTE;30525
2788144; UBS NOSSA S DO BRASIL ARMANDO DARIENZO;29915
2280299; SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10;29831
2284170; CENTRO DE SAUDE DR VASCO BARCELOS;28240
6855474; UAPS PARQUE SOLEDADE II;27937
6716504; SECRETARIA MUNICIPAL DE SAUDE;27082
2230135; UBS MOVEL CANOAS;26931
433489; CENTRAL REDE DE FRIO MUNICIPL NUCLEO MUNCIPAL;26809
28479; USF PROF DR CARLOS SANTANA DORON;26492
3344703; UBS ESPIRITO SANTO;26336
2708213; SMS CMS HARVEY RIBEIRO DE SOUZA FILHO AP 40;26317
2346117; USF BAIRRO NOVO I;26115
6897029; US 376 POLICLINICA SALOMAO KELNER;26060
2786834; UBS CAMBUCI;25779
2788543; AMA UBS SAO VICENTE DE PAULA;25691
3002586; USF DA LIBERDADE;25305
6090621; UBS REPUBLICA FERNANDA SANTE LIMEIRA;25139
9382356; UNIDADE BASICA DE SAUDE DIOCINA DE S LIMA NETA PARQUE PIAUI;24734
2269651; SMS CMS DOM HELDER CAMARA AP 21;24662
447455; CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE;24375
2622726; CS CANASVIEIRAS;24288
