CNES;Estabelecimento de Saúde;Total de doses Aplicadas Bivalentes
7500130; UNIDADE VILA DOS LAVRADORES;3817
2055414; ESPACO SAUDE DRA CELILIA MAGALDI;1836
7500297; UNIDADE VILA FERROVIARIA BOTUCATU;1475
2057573; UBS CECAP BOTUCATU;1375
2046296; UBS EDMUNDO DE OLIVEIRA CS I BOTUCATU;1270
2028719; UBS SEBASTIAO ALMEIDA PINTO COHAB I BOTUCATU;1212
2028867; UBS MARIO AZANHA SAO LUCIO DE BOTUCATU;1111
2046547; UBS VILA JARDIM BOTUCATU;917
3004406; USF RUBIAO JUNIOR BOTUCATU;910
2064618; UBS DR JAIR RODRIGUES ALVES JARDIM CRISTINA BTU;851
3003329; USF JARDIM AEROPORTO BOTUCATU;789
6990193; USF COHAB IV BOTUCATU;622
3003299; USF JARDIM IOLANDA BOTUCATU;611
3956156; USF JARDIM PEABIRU BOTUCATU;499
6868339; USF SANTA MARIA BOTUCATU;483
3004414; USF VITORIANA BOTUCATU;428
7501633; USF COMERCIARIOS BOTUCATU;390
6644694; USF REAL PARK BOTUCATU;347
3004392; USF PARQUE MARAJOARA BOTUCATU;332
3003310; USF SANTA ELISA BOTUCATU;221
262323; USF CAIMA BOTUCATU;211
3004384; USF CESAR NETO BOTUCATU;125
2748223; HOSPITAL DAS CLINICAS DE BOTUCATU;12
