CNES;Estabelecimento de Saúde;Total de Doses Aplicadas Monovalente;1ª Dose;2ª Dose;3ª Dose;Dose Reforço;1° Dose Reforço;2° Dose Reforço;3° Dose Reforço;Dose Adicional;Dose Única
2794179; SECRETARIA DA SAUDE DO ESTADO DO CEARA;5300553;2844116;2226484;9;163510;0;0;0;28365;38069
7780966; DEVS;3490119;1300822;1231698;691;640063;1139;236226;30598;47963;919
2529246; UAPS LUCIA DE SOUSA BELEM;2396581;955937;837190;204;392671;50487;124218;21948;5121;8805
2009765; DISTRITO SANITARIO;2037819;818401;710051;157;337998;6615;144183;1056;2950;16408
2431319; SECRETARIA DE SAUDE DO JABOATAO DOS GUARARAPES;1509522;566953;505148;818;319350;5131;99350;2132;6980;3660
9686940; UBS MARTINS;1306245;553188;502178;115;215397;66;14723;55;42;20481
7979436; CARTAO SUS DE JOAO PESSOA;1467182;526618;568424;20244;348777;0;0;0;3119;0
3344703; UBS ESPIRITO SANTO;1288371;500742;360334;86;310905;2623;94872;146;1105;17558
88498; CENTRAL MUNICIPAL DE REDE DE FRIO CRMF SOROCABA;1182803;497685;485123;38;165865;1078;11688;9;3244;18073
2622726; CS CANASVIEIRAS;1178801;464765;430752;88;181238;29999;52685;382;2502;16390
7071116; CENTRO DE SAUDE DRA VALDECY ELEOTERIA MARTINS;1054544;422332;374863;59;196809;177;35888;1560;8383;14473
2015323; USF MANSOUR BULBOL;838027;419182;278996;102011;29483;159;23;0;546;7627
6347223; SECRETARIA MUNICIPAL DE SAUDE NIVEL CENTRAL;1134751;417597;382159;1665;222981;2702;85375;9660;4939;7673
2013886; USF MJ PM SALVIO BELOTA;809418;377120;298290;111303;14532;1955;60;0;169;5989
2482142; UAPS VIVIANE BENEVIDES;1095788;356711;376259;68;206218;34679;95156;20211;834;5652
2358700; UNIDADE MOVEL MEDICA;687033;347772;228883;1153;69676;4028;17215;92;1033;17181
7347103; CTA MOVEL;722243;340796;296745;4;65446;2457;4060;4;2100;10631
2016702; USF DR LUIZ MONTENEGRO;635881;336229;236441;37812;16863;285;18;0;235;7998
213241; CENTRAL DE REDE DE FRIO PORTO VELHO;715237;331237;269611;67;84190;51;19991;65;2811;7214
6917291; DEPARTAMENTO DE VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL;846437;327079;285792;915;154435;81;55939;532;16018;5646
3270246; POLICLINICA MUNICIPAL;845534;326955;286028;28937;132462;2107;54554;1570;9009;3912
2383780; CENTRAL MUNICIPAL DA REDE DE FRIO ANAPOLIS;791214;309628;275874;1103;123111;964;46316;2338;20545;11335
