CNES;Estabelecimento de Saúde;Total de doses Aplicadas Bivalentes
7500130; UNIDADE VILA DOS LAVRADORES;3817
2055414; ESPACO SAUDE DRA CELILIA MAGALDI;1836
7500297; UNIDADE VILA FERROVIARIA;1475
2057573; UBS CECAP ;1375
2046296; UBS EDMUNDO DE OLIVEIRA CS I ;1270
2028719; UBS SEBASTIAO ALMEIDA PINTO COHAB I ;1212
2028867; UBS MARIO AZANHA SAO LUCIO;1111
2046547; UBS VILA JARDIM ;917
3004406; USF RUBIAO JUNIOR ;910
2064618; UBS DR JAIR RODRIGUES ALVES JARDIM CRISTINA ;851
3003329; USF JARDIM AEROPORTO ;789
6990193; USF COHAB IV ;622
3003299; USF JARDIM IOLANDA ;611
3956156; USF JARDIM PEABIRU ;499
6868339; USF SANTA MARIA ;483
3004414; USF VITORIANA ;428
7501633; USF COMERCIARIOS ;390
6644694; USF REAL PARK ;347
3004392; USF PARQUE MARAJOARA ;332
3003310; USF SANTA ELISA ;221
262323; USF CAIMA ;211
3004384; USF CESAR NETO ;125
2748223; HOSPITAL DAS CLINICAS DE BOTUCATU;12
