CNES;Estabelecimento de Saúde;Total de doses Aplicadas Bivalentes
7024452; UBS 01;49000
2752336; UBS DR HUMBERTO PASCALE SANTA CECILIA;31978
2788144; UBS NOSSA S DO BRASIL ARMANDO DARIENZO;29750
3344703; UBS ESPIRITO SANTO;26323
2786834; UBS CAMBUCI;25623
2788543; AMA UBS SAO VICENTE DE PAULA;25604
6090621; UBS REPUBLICA FERNANDA SANTE LIMEIRA;25006
447455; CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE;24198
2752387; UBS VILA SANTO ESTEVAO DR WOADY JORGE KALIL;24164
2789132; UBS VILA OLIMPIA MAX PERLMAN;21148
2091321; CSE GERALDO DE PAULA SOUZA;20859
2787113; UBS HUMAITA;20521
2751844; AMB ESPEC CECI DR ALEXANDRE K YASBECK;20464
3359131; UBS VILA PRUDENTE;20229
2752301; UBS JOSE DE BARROS MAGALDI;19694
2788063; UBS MANOEL JOAQUIM PERA;18368
5662699; UBS VILA MARIANA;18339
2788578; UBS INDIANOPOLIS SIGMUND FREUD;18085
2042967; UBS JARDIM DA SAUDE NEUSA ROSALIA MORALES;17564
2030934; UBS GUARANI VARGAS;17335
2765993; UBS CHACARA SANTO ANTONIO DR MARCILIO DE ARRUDA PENTEADO F;17163
2789248; UBS VILA ROMANA;16431
2022729; CENTRO DE SAUDE CENTRO;16259
2091526; UBS SANTA CRUZ;15806
2787938; UBS JARDIM VERA CRUZ PERDIZES;15483
2789256; AMA UBS VILA SONIA;15279
2788640; UBS SANTO AMARO DR SERGIO VILLACA BRAGA;14850
2027461; UBS PARQUE DA LAPA;14744
2027380; UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO;14721
2789205; AMA UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA;14470
3452689; UBS CAMPO GRANDE;14371
9326; UBS CENTRO I;14322
2042258; UBS MOOCA I;13941
2752166; AMA UBS INTEGRADA AGUA RASA;13883
2788683; UBS VILA ANGLO JOSE SERRA RIBEIRO;13842
2751933; HOSPITAL DIA PENHA;13656
2078015; HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;13261
2040476; UBDS DR ITALO BARUFFI CASTELO BRANCO NOVO RIBEIRAO PRETO;13075
2027674; UBS VILA NIVI;12847
