CNES;Estabelecimento de Saúde;1ª Dose
3344703; UBS ESPIRITO SANTO;500741
88498; CENTRAL MUNICIPAL DE REDE DE FRIO CRMF SOROCABA;497684
7347103; CTA MOVEL;340796
3551911; VIGILANCIA EPIDEMIOLOGICA;306778
7024452; UBS 01;244556
109541; VIGILANCIA EPIDEMIOLOGICA DE PIRACICABA;235620
2773473; UBS ADELZUITA FERREIRA DOS SANTOS;187725
2754851; USAFA JARDIM DOS PASSAROS GUARUJA;156342
2037378; UBS SAO PEDRO;148803
3464555; CENTRO MEDICO PMESP;134682
5272378; VIGILANCIA EPIDEMIOLOGICA DE OSASCO;121628
2049414; CENTRO DE SAUDE DRA ROSA CHELMINSK TEIXEIRA ARARAS;120791
2773317; PRO HIPER;117872
447455; CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE;115527
2054957; VIGILANCIA EPIDEMIOLOGICA MARILIA;110572
2097680; CENTRO DE SAUDE VILA SANTANA;107806
77453; CARRETA DA SAUDE;104111
2025922; CEM CENTRO DE ESPECIALIDADES MEDICAS MANOEL DOS S QUELHAS;103306
3810984; UNIDADE BASICA DE SAUDE RIBEIRAO PIRES;100934
3005909; UBS DR ALVARO RIBEIRO CEO I;97423
2060957; EXPRESSO SAUDE;96400
2786834; UBS CAMBUCI;96207
2752336; UBS DR HUMBERTO PASCALE SANTA CECILIA;92716
2788578; UBS INDIANOPOLIS SIGMUND FREUD;92202
2752301; UBS JOSE DE BARROS MAGALDI;91832
9172; UBS JARDIM SATELITE;91778
2049651; CENTRO DE SAUDE II;89671
2044617; CS I DE OURINHOS;86700
3576760; UNIDADE MOVEL TERRESTRE ONIBUS DE FRANCISCO MORATO;86029
2087898; CENTRAL DE REDE DE FRIO DE ITANHAEM;85465
7297343; CASA CARAGUATATUBA;84453
2788543; AMA UBS SAO VICENTE DE PAULA;82343
9422005; UBS PSF JARDIM SANTA ELIZA;81965
2773902; VIGILANCIA EPIDEMIOLOGICA DE FERRAZ DE VASCONCELOS;81826
9326; UBS CENTRO I;81604
2045389; UBS RIACHO GRANDE;80455
2023962; UBS MARIA FRANCISCA DE MELO;80262
2027631; UBS JOAQUIM ANTONIO EIRADO;78788
2082411; PRONTO ATENDIMENTO DR GUIDO GUIDA;78179
3359131; UBS VILA PRUDENTE;76881
2047373; CENTRO DE SAUDE II DR ARCY BANDEIRA IBIUNA SP;76823
2755068; UNIDADE BASICA DE SAUDE CENTRO PINDAMONHANGABA;76591
2746492; UBS ATALAIA DR MARIO AGUIAR FILHO;75975
2097036; AMBULATORIO DE DOENCAS CRONICAS TRANSMISSIVEIS;75594
2024411; UBS SERTAO VELHO;75198
2788918; UBS V FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA;74697
2786400; UBS EMBU;73482
2037351; UBS VILA EUCLIDES;73212
2789132; UBS VILA OLIMPIA MAX PERLMAN;72541
9815074; ESF VIII VILA PAULO ROMEU;71995
2037548; UBS VILA MARCHI;70244
9387854; UBS CENTRAL;69456
2066629; UBS OSWALDO PACCINI ATIBAIA;68671
2788063; UBS MANOEL JOAQUIM PERA;68011
2705257; CLINICA DA FAMILIA HORTOLANDIA;67605
2069598; UBS DR ANIZ BONEDER CENTRAL TATUI SP;67493
2773856; USF BARRETO ARUJA;67245
7298609; USF JD SAO CARLOS;67131
2063271; SERVICO ESPECIAL DE SAUDE DE ARARAQUARA SESA ARARAQUARA;66897
2788144; UBS NOSSA S DO BRASIL ARMANDO DARIENZO;66490
2787113; UBS HUMAITA;66427
2792885; UBS BENEDITO DO CARMO FRONTINO SANTO EDUARDO;65291
2087707; UBS SANTA CLARA ANA MARIA LOPES FRAGOSO;63872
2752387; UBS VILA SANTO ESTEVAO DR WOADY JORGE KALIL;61991
7532105; SAUDE SOBRE RODAS LIMEIRA;61984
2706040; UBS ANTONIO DE PAULA LIMA;61019
2075059; UNIDADE BASICA DE SAUDE DR HELIO FURLAN;60754
2786907; UBS CIDADE LIDER;60652
2788683; UBS VILA ANGLO JOSE SERRA RIBEIRO;60105
2025000; CENTRO DE SAUDE II DR ODILON DE SOUZA MIRANDA;57958
3817822; SAE BEBEDOURO SERVICO DE ASSISTENCIA ESPECIALIZADA;57434
2064995; CENTRO DE ATENDIMENTO INTEGRADO A SAUDE;57383
2787253; AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F;56877
2788640; UBS SANTO AMARO DR SERGIO VILLACA BRAGA;56355
2789140; UBS VILA PALMEIRAS;56265
2787156; UBS JD AEROPORTO DR MASSAKI UDIHARA;56026
2032244; CENTRO DE SAUDE I DR JOSE MELLO E SILVA;55602
9493328; SALA DE VACINA DE IBITINGA;54924
2786397; UBS PINHEIRINHO;54600
6090621; UBS REPUBLICA FERNANDA SANTE LIMEIRA;54531
6679374; CENTRO DE SAUDE III;54505
2025450; UNIDADE BASICA DE SAUDE GINO BASSI;53799
2049635; CENTRO DE SAUDE SAO ROQUE DR JOSE CARVALHO BRITO;53484
2023466; DISTRITO SANITARIO NORTE;53395
2023563; VIGILANCIA EM SAUDE LESTE;52752
9072349; UBS AUTODROMO DR FAUZER SIMAO ABRAO;52671
2788268; UBS PARQUE ARARIBA;52034
7489390; UBS MONTANHAO;51908
2059770; UBS MAIS INDEPENDENCIA;51765
5653231; USF HIGOR CESAR RAMOS CAMARGO JD STO ANTONIO;51473
2765993; UBS CHACARA SANTO ANTONIO DR MARCILIO DE ARRUDA PENTEADO F;51175
7025475; UBS DE LUCCA;51127
3503488; UBS ALTO DE PINHEIROS DR SUEL ABUJAMRA;50987
2705109; UNIDADE BASICA DE SAUDE RAMI;50929
2716151; CENTRO DE SAUDE II MIRASSOL;50672
2040549; CENTRO DE SAUDE INTEGRADO CAMPOS SALLES;50247
